strategy,target_tokens,piece_id,filename,actual_tokens,target_reached,num_bars,num_notes,num_instruments,grammar_error_rate,incomplete_triplets,orphan_tokens,tokens_per_bar_mean,tokens_per_bar_std,ends_with_bar,repair_needed,success,generation_time_s,tokens_per_second,num_chunks,seed
single_shot,2048,1,single_shot_02048tok_001.mid,2048,True,26,504,2,0.000488,1,0,74.77,44.94,False,True,True,18.25,112.03,1,1042
single_shot,2048,2,single_shot_02048tok_002.mid,2048,True,32,400,1,0.0,0,0,62.66,1.26,False,False,True,17.85,114.55,1,2042
single_shot,2048,3,single_shot_02048tok_003.mid,2048,True,5,501,5,0.000488,1,0,390.6,79.48,False,True,True,17.85,114.55,1,3042
single_shot,2048,4,single_shot_02048tok_004.mid,2048,True,80,494,4,0.0,0,0,25.19,33.4,False,False,True,17.84,114.65,1,4042
single_shot,2048,5,single_shot_02048tok_005.mid,2048,True,8,477,9,0.000488,1,0,214.62,95.31,False,True,True,17.88,114.4,1,5042
single_shot,2048,6,single_shot_02048tok_006.mid,2048,True,12,497,7,0.0,0,0,166.75,75.3,False,False,True,17.86,114.47,1,6042
single_shot,2048,7,single_shot_02048tok_007.mid,2048,True,25,396,1,0.000488,1,0,78.68,4.59,False,True,True,17.88,114.35,1,7042
single_shot,2048,8,single_shot_02048tok_008.mid,2048,True,10,535,10,0.0,0,0,196.7,55.7,False,False,True,17.9,114.24,1,8042
single_shot,2048,9,single_shot_02048tok_009.mid,2048,True,4,620,3,0.000488,1,0,310.5,85.99,False,True,True,17.94,113.98,1,9042
single_shot,2048,10,single_shot_02048tok_010.mid,2048,True,14,436,3,0.000488,1,0,139.93,17.47,False,True,True,18.29,111.79,1,10042
single_shot,2048,11,single_shot_02048tok_011.mid,2048,True,11,506,5,0.000488,1,0,170.45,51.63,False,True,True,18.52,110.43,1,11042
single_shot,2048,12,single_shot_02048tok_012.mid,2048,True,24,335,1,0.0,0,0,82.75,33.09,False,False,True,18.31,111.69,1,12042
single_shot,2048,13,single_shot_02048tok_013.mid,2048,True,55,323,1,0.000488,1,0,36.69,5.38,False,True,True,18.65,109.65,1,13042
single_shot,2048,14,single_shot_02048tok_014.mid,2048,True,21,482,4,0.0,0,0,95.05,39.98,False,False,True,18.21,112.29,1,14042
single_shot,2048,15,single_shot_02048tok_015.mid,2048,True,12,477,4,0.0,0,0,164.58,68.48,False,False,True,18.54,110.31,1,15042
single_shot,2048,16,single_shot_02048tok_016.mid,2048,True,12,490,6,0.0,0,0,170.5,46.64,False,False,True,18.29,111.82,1,16042
single_shot,2048,17,single_shot_02048tok_017.mid,2048,True,29,498,1,0.0,0,0,69.86,13.66,False,False,True,17.77,115.09,1,17042
single_shot,2048,18,single_shot_02048tok_018.mid,2048,True,11,507,6,0.000488,1,0,162,119.27,False,True,True,18.29,111.82,1,18042
single_shot,2048,19,single_shot_02048tok_019.mid,2048,True,18,440,5,0.0,0,0,113.56,57.44,False,False,True,18.37,111.35,1,19042
single_shot,2048,20,single_shot_02048tok_020.mid,2048,True,19,451,7,0.000488,1,0,102.68,25.97,False,True,True,18.56,110.19,1,20042
single_shot,2048,21,single_shot_02048tok_021.mid,2048,True,12,519,4,0.0,0,0,167.25,14.04,False,False,True,18.43,110.95,1,21042
single_shot,2048,22,single_shot_02048tok_022.mid,2048,True,10,481,4,0.0,0,0,194.9,58.63,False,False,True,18.16,112.62,1,22042
single_shot,2048,23,single_shot_02048tok_023.mid,2048,True,40,328,1,0.000488,1,0,50,0.0,False,True,True,18.4,111.15,1,23042
single_shot,2048,24,single_shot_02048tok_024.mid,2048,True,13,516,5,0.000488,1,0,149.69,30.7,False,True,True,18.36,111.36,1,24042
single_shot,2048,25,single_shot_02048tok_025.mid,2048,True,20,470,4,0.0,0,0,97.15,38.53,False,False,True,18.4,111.16,1,25042
single_shot,2048,26,single_shot_02048tok_026.mid,2048,True,34,476,5,0.000488,1,0,57.29,48.66,False,True,True,18.36,111.36,1,26042
single_shot,2048,27,single_shot_02048tok_027.mid,2048,True,9,498,5,0.0,0,0,207.67,70.39,False,False,True,18.31,111.71,1,27042
single_shot,2048,28,single_shot_02048tok_028.mid,2048,True,29,422,3,0.0,0,0,70.52,12.29,False,False,True,18.3,111.77,1,28042
single_shot,2048,29,single_shot_02048tok_029.mid,2048,True,17,472,4,0.0,0,0,116.82,52.41,False,False,True,18.33,111.57,1,29042
single_shot,2048,30,single_shot_02048tok_030.mid,2048,True,10,496,3,0.000488,1,0,166.9,142.73,False,True,True,18.58,110.07,1,30042
single_shot,4096,1,single_shot_04096tok_001.mid,4096,True,36,864,1,0.0,0,0,113,47.36,False,False,True,37.06,110.45,1,1043
single_shot,4096,2,single_shot_04096tok_002.mid,4096,True,38,896,5,0.0,0,0,106.66,11.41,False,False,True,36.75,111.36,1,2043
single_shot,4096,3,single_shot_04096tok_003.mid,4096,True,34,887,5,0.000977,2,1,118.65,25.38,False,True,True,37.15,110.18,1,3043
single_shot,4096,4,single_shot_04096tok_004.mid,4096,True,32,989,3,0.001221,1,1,125.66,26.72,False,True,True,37.07,110.42,1,4043
single_shot,4096,5,single_shot_04096tok_005.mid,4096,True,73,716,3,0.000488,0,0,55.68,6.45,False,True,True,35.97,113.79,1,5043
single_shot,4096,6,single_shot_04096tok_006.mid,4096,True,22,962,5,0.000244,1,0,177.18,93.78,False,True,True,37.3,109.73,1,6043
single_shot,4096,7,single_shot_04096tok_007.mid,4096,True,40,923,5,0.000244,1,0,100.8,9.24,False,True,True,35.63,114.88,1,7043
single_shot,4096,8,single_shot_04096tok_008.mid,4096,True,25,978,8,0.000244,1,0,161.28,54.26,False,True,True,35.63,114.87,1,8043
single_shot,4096,9,single_shot_04096tok_009.mid,4096,True,103,847,1,0.000732,1,0,39.72,9.59,False,True,True,36.33,112.65,1,9043
single_shot,4096,10,single_shot_04096tok_010.mid,4096,True,23,747,4,0.0,0,0,170.74,102.99,False,False,True,36.46,112.27,1,10043
single_shot,4096,11,single_shot_04096tok_011.mid,4096,True,26,1056,2,0.000244,1,0,153.31,26.24,False,True,True,35.6,114.96,1,11043
